freq	word
195	turning,faithful
194	harsh,behavior,statement,frequent
193	sacrifice,deathless
192	discourse,praised,paths,minds,impossible,put
190	declared,================================================,grass
189	release
188	trainee,intention,himself,commit,said:,‘i’m
187	fear,following,raised,exterior
186	them:,==============================================
185	wild,mendicants:,moggallāna,son,donation,spoke,===============================================
184	conscience,experienced,above,likable,seems
183	encourage,desirable,kill,look,able,drink
182	situational,discussion,educated,negligence,=============================================,identity
181	wanderer,leading,generosity,=================================,‘my,overcome
180	cannot,focus,used,lack,“this,==================================,unable,thinking:,deed
179	kings,benefits,stinginess,drowsiness,approached
178	hope,unethical,deity
177	hindrances,heartwood
176	nuns,fulfill,recollect
175	anger,won’t,perceiving,steal,wish:,relishing
174	arousing,children,lotus,speaks,source,empty
173	describe,eons,eternal
172	soon,hurt,red
171	guide,using,until,amazing,dullness
170	anuruddha,criticism,friend,confident,corrupt,hall
169	gets,chief,verses,diligence,park
168	really
167	high,heart’s
166	precepts,divisive,restlessness,clan,fades
165	gift,“when,according
164	verbal,aristocrats,lasting,matter,stilled,settled,resolute,doctrine,perceive,“impermanent
163	legitimate,act,fifth,false,recited,=================================================,stimulation,vipassī
162	late,pasenadi,reached,touch,attachments,============================================,accept
161	ugly,uneducated
160	experiential,speaking,enterer,prudence
159	features,yourself,inside,rice,sit
158	beauty,defined,often,increase,prince,monarch,tranquility,simply,every
157	nine,recitation,silent,foolish,blue,“master,gentleman,arrived
156	purpose,harmony,detail,explain,oneself,cosmos,fuel
155	rules,capable,women,demons,details,extend
154	wants,kept
153	remorse,most,clearly,nd)](#sn
152	is:,produced,[mn,**[mn,/mn,xhtml#mn,>mn
151	bull,“that’s,arose
150	terms,learning,child,east
149	),explains,causes,achieve,verse:,cross
148	hands,vanished,desires,deer
147	danger,times,tell
146	bodily,entry,content,gain,personally,‘if,instructions,robed
145	gifts,](,buddhas,sake,‘but,spontaneously
144	term
143	attached,sakyan,already,animal,inferior,know:,‘it’s
142	thoroughbred,teacher’s,house,‘what,respectfully
141	final,memorized,coarse,shouldn’t,===========================================
140	listening,associate,popularity,finished,color,==========================================,cloth
139	cast,feels,attachment,detailed,diverse,persons,vesālī,unified,treasure,steady,sword
138	support,hearted,men,sanctuary,suitable,apply,myself,enmity,one!
137	character,rather,undertaken,new,===================================================,‘that,tendency,phenomena,breathe
136	families,fast,pass,‘we
135	stay,radiance,battle,lust,relatives,respected,search,reverends,==================================================,linked
134	palm
133	sky,intent,gentlemen,lighting,burning,criticized,months,superior
132	perfection,medicines,appears,distinction,seventh,across,gave,happened,refrain
131	tranquil,reject,round
130	overflowing,trouble,bhāradvāja
129	takes,fool,need,yellow,former,fetter
128	wherever,supplies,clairvoyance,me:,lesser,share,lacks
127	excellent,wind,serenity,‘i’ll,he’d
126	regarded,entering,hold,restrained,hand,hospitality,firstly
125	nd)](#an,fruits,wandering,further,spreading,renunciation,skin,=====================================================,looked,ganges,finer,vanish
124	texts,birth,“it,below,“and,inclines
123	compared,chariot,chapter,homage,took,stealing,approved,circled
122	talking,roots,verse,bamboo,country,looking,brahmās,loved,###
121	](#an,st)](#an,attend,harmful,either,udāyī,approve,you’ll
120	powerful,corpse,pliable,strive,stand,clinging,soul
119	emotional,enjoying,admonish,low,speaker,====================================================,call,longer
118	felt,workable,witless,achieving,laid,perfect,regrets
117	feeding,hearing,leaving
116	exactly,formless,relying,mahāmoggallāna,today,outcome,expansive,mortification
115	followers,extent,fallen,meaningful,intentions,“reverends,“a,perishable
114	continue,malicious,sharp,‘rebirth,fortunate
113	analysis,leave,trained,proclaimed,carefully,======================================================,student
112	principled,sleep,person’s,evident,population,joyful
111	falling,searches,energetic,bring,‘sir,twenty,‘they,north,seated,māras,rod,grounded,private,self’
110	community,doors,loving,sometimes,leaves,“venerable,prone,aristocrat,approach,slopes
109	inspiring,duties,forms,active,caught,lovely,they’ll
108	behind,blameless,liberation,serve,knower,growing,eager
107	darkness,remembering,dangers,code,happens,ghost,visions,insisting,vanishing,========================================================,meeting,withdrawn
106	rooted,teachers,entirely,fault,fettered,bow,thought:,māra’s,‘these,“is,fill
105	difference,lion’s,reasons,parents,later,money,recite,ends,sure,stump,appeared,ever,knew
104	unpleasant,becoming,lamp,instruction
103	contentment,recollection,angry,universal,competent,“mendicants!,saying:,severe,firm,direction,host
102	dwelling,black,blameworthy,assemblies,lose,glorious,attain,oil,horse,=========================================================,“please,worn,cool
101	broken,equal,seeds,trees,always,mastered,ordination,investigation,reckoned,deserve,branches,hymns,view:,silver
100	pleasing,hostility,effective,focusing,account,quickly,cultivates,‘i’ve,forty,‘why,roof,afterlife,highest,originate
99	cow,corruption,discernment,citta,sakyans,taste,inquiry,comprehending,obliterated,turn,included,st)](#sn
98	vagga*,nature,worth,infinite’,who’s,majesty,“so,flawless,mighty,husband,whenever,cultivating,percipient
97	foremost,young,esteemed,relevant,excellent!,easily,pleased,worse,control,clean
96	threats,voice,meditations,remained,enlightenment,utterly,grasp,assert,perishing
95	supported,sex,principles—keen,“excellent,mendicants!,phrasing,beard,south,beset
94	mendicant’s,praises,struck,claim,endure,============================================================,stage,bed,burden,cleansing,womb,slants
93	origination,rāhula,considered,establish,workers,contacts,stays,stilling,mired,consider,originates
92	expert,healthy,afternoon,laymen,meditating,accordingly,seeking,spectrum,drinks,distance,efforts,spirit,namely
91	sensuality,avoiding,receive,avoid,“if,lazy,revealing,eastern,lies,thus,amazing!,checking
90	hurting,similar,swift,fame,rain,foot,milk,glory,straight,=======================================================,contracting,elephants,she’s,decided
89	wanting,tendencies,towards,limited,anāthapiṇḍika,blood,hot,returner,finest,let’s,cruel,this—purified,hundreds,alcoholic,thus:,agreed,mango,expanded
88	experiences,karma,break,divine,series,vulture’s,=========================================,“ānanda,stick,clothes,‘reverend,defilements’,nonsense
87	purity,nigaṇṭha,warm,mastery,encouraged,roar,eliminated,appearance,eon,agree,pair,flavor,detached,difficulty,group,springs,body—keen,you’d,belly
86	attainment,advice,marks,dung,king’s,offering,jain,wife,foundation,ceased,ears,provided,heat,mother’s
85	drawn,vāseṭṭha,tradition,immediately,poor,junior,rejoicing,abundant,believe,dust,expanding,recall,affliction,sirs,“then,remaining,presence:
84	extra,clarity,meditator,answers,wealthy,acts,gotama!,tied,answered,west,passion,outer
83	hurtful,sixth,assured,poorly,hue,tint,“these,longhouse,hut,garlands,sage,giver,whoever,striving,stuck,“suffering
82	heap,however,individuals,kapilavatthu,based,females,topic,keeps,reflecting,qualified,delight,pointing,corrupted,exposition,phrased,colleagues,outside,everywhere
81	mahānāma,classes,helpful,reflection,crossed,care,senses,renunciate,ripen,ocher,prepared,exempt,fragrant,thirst,‘…
